ID	mission_text
8009	Clear any SoL stage 10 times -> Cat Ticket X 1
8010	Clear all 4 missions from the following: 8005, 8006, 8007, 8008 -> Cat Food X 30
8011	Clear all 4 missions from the following: 8005, 8006, 8007, 8009 -> Cat Food X 30
9000	Beat "Floor 30 [Heavenly Tower]" -> Hermit Cat X 1
9001	Beat "Summer Lesson" stages 5 times -> Cat Ticket X 1
9002	Beat "Summer Lesson" stages 10 times -> Cat Ticket X 1
9003	Beat "Summer Lesson" stages 20 times -> Cat Ticket X 1
9004	Acquire the cat/s "Awa-Odori Cat" -> XP X 50000
9005	Clear all 4 missions from the following: 9001, 9002, 9003, 9004 -> Cat Food X 30
9011	Beat "Silver Week" stages 5 times -> Cat Ticket X 1
9012	Beat "Silver Week" stages 10 times -> Cat Ticket X 1
9013	Beat "Silver Week" stages 20 times -> Cat Ticket X 1
9014	Clear all 3 missions from the following: 9011, 9012, 9013 -> Cat Food X 30
9015	Score 5000 or more on "Immortal Allen O'Neill"!|Receive your score upon stage clear. -> Cat Food X 10
9016	Score 5000 or more on "Attack On Huge Hermit"!|Receive your score upon stage clear. -> Cat Food X 10
9017	Score 5000 or more on "Jupiter King Convoy"!|Receive your score upon stage clear. -> Cat Food X 10
9018	Score 3000 or more on "Devils on the Doorstep"!|Receive your score upon stage clear. -> Cat Food X 10
9019	Beat "Birthday Present!" stages 5 times -> Cat Food X 55
9020	Score 5555 or higher on the Dojo stage, "Five Year Plan [Arena of Honor]" -> Cat Food X 55
9021	Level up Coin Cat to Level 10 -> Cat Food X 55
9022	Score 4000 or more on "Schoolyard Clash"!|Receive your score upon stage clear. -> Cat Food X 10
9023	Score 3500 or more on "Midnight Interception"!|Receive your score upon stage clear. -> Cat Food X 10
9024	Score 3000 or more on "Manor Ruins"!|Receive your score upon stage clear. -> Cat Food X 10
9025	Score 2500 or more on "Inconspicuous Trap"!|Receive your score upon stage clear. -> Cat Food X 10
9026	Score 1500 or more on "Beginning of the End"!|Receive your score upon stage clear. -> Cat Food X 10
9027	Beat "Holy War: Saber, Holy War: Lancer, Holy War: Archer, Holy War: Rider, Holy War: Gilgamesh" stages 5 times -> Cat Food X 10
9028	Beat "Floor 40 [Heavenly Tower]" -> Masked Yulala X 1
9029	Score more than 2500 points when|clearing the "Coming to Town!" stage! -> Cat Food X 10
9030	Score more than 2000 points on the|"Reindeer Games" stage! -> Cat Food X 10
9031	Score more than 2000 points on the|"Whipped Cream" stage! -> Cat Food X 10
9032	Score more than 2000 points on the|"Coup d'Workshop" stage! -> Cat Food X 10
9033	Score more than 1500 points on the|"War on Xmas" stage! -> Cat Food X 10
9034	Beat "Cats in the Snow" stages 5 times -> Cat Ticket X 1
9035	Beat "Cats in the Snow" stages 10 times -> Cat Ticket X 1
9036	Beat "Cats in the Snow" stages 20 times -> Cat Ticket X 1
9037	Score more than 3000 points on the|PowerPro collab stage "Round 1 (Easy)"! -> Cat Food X 10
9038	Score more than 6000 points on the|PowerPro collab stage "Round 2 (Normal)"! -> Cat Food X 10
9039	Score more than 6500 points on the|PowerPro collab stage "Final Round (Hard)"! -> Cat Food X 10
9040	Score more than 2000 points on the|Limited Stage "Mallow March"! -> Cat Food X 10
9041	Score more than 5000 points on the|Limited Stage "Marzi Pain"! -> Cat Food X 10
9042	Score more than 6000 points on the|Limited Stage "Cavity Creeping"! -> Cat Food X 10
9043	Beat "Go Go Graduates!" stages 5 times -> Cat Ticket X 1
9044	Beat "Go Go Graduates!" stages 10 times -> Cat Ticket X 1
9045	Beat "Go Go Graduates!" stages 20 times -> Cat Ticket X 1
9046	Score more than 2000 points on the|Special Stage "Mallow March"! -> Cat Food X 10
9047	Score more than 5000 points on the|Special Stage "Marzi Pain"! -> Cat Food X 10
9048	Score more than 6000 points on the|Special Stage "Cavity Creeping"! -> Cat Food X 10
9049	Level up Eggy Cat to Level 10 -> Cat Food X 10
9050	Level up Shinji & Cat to Level 10 -> Cat Food X 10
9051	Beat "Decisive Battle!" stages 5 times -> Cat Ticket X 1
9052	Beat "Decisive Battle!" stages 10 times -> Cat Ticket X 1
9053	Beat "Decisive Battle!" stages 20 times -> Cat Ticket X 1
9054	Clear a stage using Unknown CatCombo -> Cat Ticket X 1
9055	Beat "State of Emergency [Evangelion Activates!]" -> Cat Food X 10
9056	Beat "Futagoyama Fortress [Decisive Battle!]" -> Cat Food X 10
9057	Beat "Asuka On Board (Easy) [The 9th Angel Strikes!]" -> Cat Food X 10
9058	Beat "Refusal Type (Hard) [The 10th Angel Strikes!]" -> Cat Food X 10
9059	Clear all 4 missions from the following: 9055, 9056, 9057, 9058 -> Cat Food X 30
9060	Level up Pokota to Level 10 -> Cat Food X 30
9061	Level up Ovis to Level 10 -> Cat Food X 30
9062	Level up Coco to Level 10 -> Cat Food X 30
9063	Beat "Trio from the Woods" stages 5 times -> Cat Ticket X 1
9064	Beat "Trio from the Woods" stages 10 times -> Cat Ticket X 1
9065	Beat "Trio from the Woods" stages 20 times -> Cat Ticket X 1
9072	Beat "The Midas Touch" stages 5 times -> Cat Ticket X 1
9073	Beat "The Midas Touch" stages 10 times -> Cat Ticket X 1
9074	Beat "The Midas Touch" stages 20 times -> Cat Ticket X 1
9075	Beat "City of Souls" stages 5 times -> Cat Ticket X 1
9076	Beat "City of Souls" stages 10 times -> Cat Ticket X 1
9077	Beat "City of Souls" stages 20 times -> Cat Ticket X 1
9078	Level up Yuki Cat to Level 10 -> Cat Food X 10
9079	Level up Takuya ＆ Yuki to Level 10 -> Cat Food X 10
9080	Level up Redhead Yuki Cat to Level 10 -> Cat Food X 10
9085	Beat "Sliming to Victory" stages 5 times -> Cat Ticket X 1
9086	Beat "Sliming to Victory" stages 10 times -> Cat Ticket X 1
9087	Beat "Sliming to Victory" stages 20 times -> Cat Ticket X 1
9088	Level up Slug Jockey Cat to Level 10 -> Cat Food X 10
9089	Beat "Forbidden Bride Pt II" stages 5 times -> Cat Ticket X 1
9090	Beat "Forbidden Bride Pt II" stages 10 times -> Cat Ticket X 1
9091	Beat "Forbidden Bride Pt II" stages 20 times -> Cat Ticket X 1
9092	Level up Madam Bride to Level 10 -> Cat Food X 10
9093	Beat "The Battle Cats POP!" stages 5 times -> Cat Food X 30
9094	Beat "The Battle Cats POP!" stages 10 times -> Cat Food X 30
9095	Beat "The Battle Cats POP!" stages 20 times -> Cat Food X 30
9096	Beat "The Battle Cats POP!" stages 32 times -> Cat Food X 30
9097	Level up Betakkuma to Level 10 -> Cat Food X 10
9098	Beat "Never Not Summer!" stages 5 times -> Cat Ticket X 1
9099	Beat "Never Not Summer!" stages 10 times -> Cat Ticket X 1
9100	Beat "Never Not Summer!" stages 20 times -> Cat Ticket X 1
9101	Level up Vacation Queen to Level 10 -> Cat Food X 10
9111	Beat "Ghostly Strangers" stages 5 times -> Cat Ticket X 1
9112	Beat "Ghostly Strangers" stages 10 times -> Cat Ticket X 1
9113	Beat "Ghostly Strangers" stages 20 times -> Cat Ticket X 1
9114	Level up Vengeful Cat to Level 10 -> Cat Food X 10
9115	Beat "Old Guys in the City" stages 5 times -> Cat Ticket X 1
9116	Beat "Old Guys in the City" stages 10 times -> Cat Ticket X 1
9117	Beat "Old Guys in the City" stages 20 times -> Cat Ticket X 1
9118	Level up Kung Fu Cat X to Level 10 -> Cat Food X 10
9119	Beat "Summer Lesson" stages 5 times -> Cat Ticket X 1
9120	Beat "Summer Lesson" stages 10 times -> Cat Ticket X 1
9121	Beat "Summer Lesson" stages 20 times -> Cat Ticket X 1
9122	Level up Awa-Odori Cat to Level 10 -> Cat Food X 10
9123	Beat "The Rose Garden Witch (Easy) [Witch's Labyrinth]" -> Cat Food X 10
9124	Beat "The Dessert Witch (Normal) [Witch's Labyrinth]" -> Cat Food X 10
9125	Beat "The Box Witch (Hard) [Witch's Labyrinth]" -> Cat Food X 10
9126	Beat "The Stagebuilding Witch (Deadly) [Walpurgisnacht]" -> Cat Food X 10
9127	Beat "The Nutcracker Witch (Veteran) [A Fake Mitakihara]" -> Cat Food X 10
9128	Clear all 5 missions from the following: 9123, 9124, 9125, 9126, 9127 -> Cat Food X 30
9129	Level up Li'l Madoka to Level 10 -> Cat Food X 10
9130	Level up Kyubey Cat to Level 10 -> Cat Food X 10
9131	Beat "Queen Rampant" stages 5 times -> Cat Ticket X 1
9132	Beat "Queen Rampant" stages 10 times -> Cat Ticket X 1
9133	Beat "Queen Rampant" stages 20 times -> Cat Ticket X 1
9134	Beat "Sports Night" stages 5 times -> Cat Ticket X 1
9135	Beat "Sports Night" stages 10 times -> Cat Ticket X 1
9136	Beat "Sports Night" stages 20 times -> Cat Ticket X 1
9137	Level up Sports Day Cat to Level 10 -> Cat Food X 10
9138	Beat "Worker's Revolution" stages 5 times -> Cat Ticket X 1
9139	Beat "Worker's Revolution" stages 10 times -> Cat Ticket X 1
9140	Beat "Worker's Revolution" stages 20 times -> Cat Ticket X 1
9141	Level up Salaryman Cat to Level 10 -> Cat Food X 10
9142	Beat "Merc Storia: Attack" stages 5 times -> Cat Ticket X 1
9143	Beat "Merc Storia: Attack" stages 10 times -> Cat Ticket X 1
9144	Beat "Merc Storia: Attack" stages 20 times -> Cat Ticket X 1
9145	Beat "Arena of Honor" stages 1 time -> Cat Ticket X 1
9146	Level up Healer to Level 10 -> Cat Food X 10
9147	Beat "A Cultured Festival" stages 5 times -> Cat Ticket X 1
9148	Beat "A Cultured Festival" stages 10 times -> Cat Ticket X 1
9149	Beat "A Cultured Festival" stages 20 times -> Cat Ticket X 1
9150	Level up Food Stall Cat to Level 10 -> Cat Food X 10
9151	Beat "Christmas in Space" stages 5 times -> Cat Ticket X 1
9152	Beat "Christmas in Space" stages 10 times -> Cat Ticket X 1
9153	Beat "Christmas in Space" stages 20 times -> Cat Ticket X 1
9154	Level up Reindeer Fish Cat to Level 10 -> Cat Food X 10
9155	Level up Pumpcat to Level 10 -> Cat Food X 10
9156	Level up A Gift of Cats to Level 10 -> Cat Food X 10
9157	Beat "Another New Year" stages 5 times -> Cat Ticket X 1
9158	Beat "Another New Year" stages 10 times -> Cat Ticket X 1
9159	Beat "Another New Year" stages 20 times -> Cat Ticket X 1
9160	Level up Adult Cat to Level 10 -> Cat Food X 10
9161	Beat "No Plan A (Deadly) [Clionel Ascendant]" -> Cat Ticket X 1
9162	Beat "Realm of Carnage (Deadly) [River Styx]" -> Cat Ticket X 1
9163	Beat "Honey Trap (Deadly) [Queen's Coronation]" -> Cat Ticket X 1
9164	Beat "Parade of the Dead (Deadly) [Dead on Debut]" -> Cat Ticket X 1
9165	Beat "N-1 Grand Prix (Deadly) [King Wahwah's Revenge]" -> Cat Ticket X 1
9166	Beat "Bombergirl (Deadly) [Deeply Dreaming]" -> Cat Ticket X 1
9167	Clear all 6 missions from the following: 9161, 9162, 9163, 9164, 9165, 9166 -> Cat Ticket X 3
9168	Beat "B-Day Gifts" stages 6 times -> Cat Food X 66
9169	Score 6666 or higher on the Dojo stage, "Six Years Strong [Arena of Honor]" -> Cat Food X 66
9170	Beat "Ritual Confusion" stages 5 times -> Cat Ticket X 1
9171	Beat "Ritual Confusion" stages 10 times -> Cat Ticket X 1
9172	Beat "Ritual Confusion" stages 20 times -> Cat Ticket X 1
9173	Level up Evil Cat to Level 10 -> Cat Food X 10
9174	Beat "Bears Be Back" stages 5 times -> Cat Ticket X 1
9175	Beat "Bears Be Back" stages 10 times -> Cat Ticket X 1
9176	Beat "Bears Be Back" stages 20 times -> Cat Ticket X 1
9177	Level up Doll Cats to Level 10 -> Cat Food X 10
9178	Level up Shirou the Cat to Level 10 -> Cat Food X 10
9179	Beat "Spring for Sensei" stages 5 times -> Cat Ticket X 1
9180	Beat "Spring for Sensei" stages 10 times -> Cat Ticket X 1
9181	Beat "Spring for Sensei" stages 20 times -> Cat Ticket X 1
9182	Level up Maiden Cat to Level 10 -> Cat Food X 10
9183	Level up Meowla Meowla to Level 10 -> Cat Food X 10
9184	Beat "Lovesick Again" stages 5 times -> Cat Ticket X 1
9185	Beat "Lovesick Again" stages 10 times -> Cat Ticket X 1
9186	Beat "Lovesick Again" stages 20 times -> Cat Ticket X 1
9187	Level up Koi Cat to Level 10 -> Cat Food X 10
9191	Level up Prince Yamato to Level 10 -> Bikkuriman Choco X 3
9192	Level up Rosary Angel to Level 10 -> Bikkuriman Choco X 3
9193	Beat "Devilish Illusion" stages 1 time -> Bikkuriman Choco X 3
9194	Beat "Yamato Awakens!" stages 1 time -> Bikkuriman Choco X 3
9195	Beat "Bikkuriman Choco" stages 5 times -> Bikkuriman Choco X 3
9196	Beat "Bikkuriman Choco" stages 10 times -> Bikkuriman Choco X 5
9197	Beat "Bikkuriman Choco" stages 20 times -> Bikkuriman Choco X 7
9198	Level up Kano ＆ Souma to Level 10 -> Cat Food X 10
9199	Beat "Shakurel Planet" stages 5 times -> Cat Ticket X 1
9200	Beat "Shakurel Planet" stages 10 times -> Cat Ticket X 1
9201	Beat "Shakurel Planet" stages 15 times -> Cat Ticket X 1
9202	Level up Shakurel Cat to Level 10 -> Cat Food X 10
17001	Clear 3 monthly missions -> XP X 100000
17002	Clear 6 monthly missions -> XP X 300000
17003	Clear 9 monthly missions -> XP X 500000
17004	Clear 12 monthly missions -> XP X 800000
17005	Clear 15 monthly missions -> XP X 1000000
17006	Clear 20 monthly missions -> XP X 1500000
17007	Clear 25 monthly missions -> XP X 2000000
17008	Clear 30 monthly missions -> XP X 10000000
1000	Defeat Hippoe in any EoC Ch.2 stage -> XP X 3000
1001	Defeat Pigge in any EoC Ch.2 stage -> XP X 3000
1002	Defeat Jackie Peng in any EoC Ch.2 stage -> XP X 3000
1003	Defeat Gory in any EoC Ch.2 stage -> Sniper the Cat X 1
1004	Defeat Baa Baa in any EoC Ch.2 stage -> Speed Up X 1
1005	Defeat Sir Seal in any EoC Ch.2 stage -> XP X 3000
1006	Defeat Croco in any EoC Ch.2 stage -> Speed Up X 1
1007	Defeat Le'boin in any EoC Ch.2 stage -> Cat Jobs X 1
1008	Defeat B.B.Bunny in any EoC Ch.2 stage -> Speed Up X 1
1009	Defeat Kang Roo in any EoC Ch.2 stage -> Rich Cat X 1
1010	Defeat Squire Rel in any EoC Ch.2 stage -> Speed Up X 1
1011	Defeat Mooth in any EoC Ch.2 stage -> Sniper the Cat X 1
1012	Defeat One Horn in any EoC Ch.2 stage -> Cat Jobs X 1
1013	Defeat Teacher Bear in any EoC Ch.2 stage -> Treasure Radar X 1
1014	Defeat Dark Emperor Nyandam in any EoC Ch.2 stage -> Cat Ticket X 1
1100	Defeat Hippoe in any EoC Ch.3 stage -> XP X 10000
1101	Defeat Pigge in any EoC Ch.3 stage -> XP X 10000
1102	Defeat Jackie Peng in any EoC Ch.3 stage -> XP X 10000
1103	Defeat Gory in any EoC Ch.3 stage -> Rich Cat X 1
1104	Defeat Baa Baa in any EoC Ch.3 stage -> Catamin [A] X 1
1105	Defeat Sir Seal in any EoC Ch.3 stage -> XP X 10000
1106	Defeat Croco in any EoC Ch.3 stage -> Catamin [A] X 1
1107	Defeat Le'boin in any EoC Ch.3 stage -> Cat Jobs X 1
1108	Defeat B.B.Bunny in any EoC Ch.3 stage -> Cat CPU X 1
1109	Defeat Kang Roo in any EoC Ch.3 stage -> Cat Jobs X 1
1110	Defeat Squire Rel in any EoC Ch.3 stage -> Cat CPU X 1
1111	Defeat Mooth in any EoC Ch.3 stage -> Rich Cat X 1
1112	Defeat One Horn in any EoC Ch.3 stage -> Sniper the Cat X 1
1113	Defeat Teacher Bear in any EoC Ch.3 stage -> Treasure Radar X 1
1114	Defeat Teacher Bun Bun in any EoC Ch.3 stage -> Cat Ticket X 1
1200	Defeat Hippoe in any ItF Ch.1 stage -> XP X 20000
1201	Defeat Pigge in any ItF Ch.1 stage -> XP X 20000
1202	Defeat Jackie Peng in any ItF Ch.1 stage -> XP X 20000
1203	Defeat Gory in any ItF Ch.1 stage -> XP X 20000
1204	Defeat Croco in any ItF Ch.1 stage -> XP X 20000
1205	Defeat Sir Seal in any ItF Ch.1 stage -> XP X 20000
1206	Defeat Hyppoh in any ItF Ch.1 stage -> XP X 20000
1207	Defeat One Horn in any ItF Ch.1 stage -> XP X 20000
1208	Defeat Mooth in any ItF Ch.1 stage -> XP X 20000
1209	Defeat Kang Roo in any ItF Ch.1 stage -> XP X 20000
1210	Defeat Teacher Bear in any ItF Ch.1 stage -> Cat CPU X 1
1211	Defeat Helmut Krabbe in any ItF Ch.1 stage -> Cat CPU X 1
1212	Defeat Le'boin in any ItF Ch.1 stage -> Cat CPU X 1
1213	Defeat Metal Hippoe in any ItF Ch.1 stage -> Rich Cat X 1
1214	Defeat Imperator Sael in any ItF Ch.1 stage -> Rich Cat X 1
1215	Defeat Doge Dark in any ItF Ch.1 stage -> Speed Up X 1
1216	Defeat Maawth in any ItF Ch.1 stage -> Rich Cat X 1
1217	Defeat Shy Boy in any ItF Ch.1 stage -> Rich Cat X 1
1218	Defeat I.M. Phace in any ItF Ch.1 stage -> Catamin [B] X 1
1219	Defeat Gabriel in any ItF Ch.1 stage -> Cat Jobs X 1
1220	Defeat Gory Black in any ItF Ch.1 stage -> Cat Jobs X 1
1221	Defeat Ursamajor in any ItF Ch.1 stage -> Cat Jobs X 1
1222	Defeat Heavenly Hippoe in any ItF Ch.1 stage -> Cat Jobs X 1
1223	Defeat Shadow Boxer K in any ItF Ch.1 stage -> Sniper the Cat X 1
1224	Defeat The Face in any ItF Ch.1 stage -> Sniper the Cat X 1
1225	Defeat Kroxo in any ItF Ch.1 stage -> Speed Up X 1
1226	Defeat LeMurr in any ItF Ch.1 stage -> Sniper the Cat X 1
1227	Defeat Elizabeth the LVIth in any ItF Ch.1 stage -> Sniper the Cat X 1
1228	Defeat Nimoy Bore in any ItF Ch.1 stage -> Treasure Radar X 1
1229	Defeat Cli-One in any ItF Ch.1 stage -> Cat Ticket X 1
1300	Defeat Scissoroo in any ItF Ch.2 stage -> XP X 30000
1301	Defeat Kang Roo in any ItF Ch.2 stage -> XP X 30000
1302	Defeat Teacher Bear in any ItF Ch.2 stage -> XP X 30000
1303	Defeat Helmut Krabbe in any ItF Ch.2 stage -> XP X 30000
1304	Defeat Ursamajor in any ItF Ch.2 stage -> XP X 30000
1305	Defeat Cyberhorn in any ItF Ch.2 stage -> XP X 30000
1306	Defeat Mistress Celeboodle in any ItF Ch.2 stage -> XP X 30000
1307	Defeat Shy Boy in any ItF Ch.2 stage -> XP X 30000
1308	Defeat Gory Black in any ItF Ch.2 stage -> XP X 30000
1309	Defeat Ginger Snache in any ItF Ch.2 stage -> Rich Cat X 1
1310	Defeat Shadow Boxer K in any ItF Ch.2 stage -> Rich Cat X 1
1311	Defeat Trolly Blogger in any ItF Ch.2 stage -> Rich Cat X 1
1312	Defeat The Face in any ItF Ch.2 stage -> Rich Cat X 1
1313	Defeat Dark Otter in any ItF Ch.2 stage -> Rich Cat X 1
1314	Defeat Elizabeth the LVIth in any ItF Ch.2 stage -> Sniper the Cat X 1
1315	Defeat I.M. Phace in any ItF Ch.2 stage -> Sniper the Cat X 1
1316	Defeat Nimoy Bore in any ItF Ch.2 stage -> Treasure Radar X 1
1317	Defeat Corrupted Valkyrie in any ItF Ch.2 stage -> Cat Ticket X 1
1318	Defeat St. Pigge the 2nd in any Level 1 SoL stage -> Catamin [A] X 1
1319	Defeat Doge Dark in any Level 1 SoL stage -> Catamin [A] X 1
1320	Defeat Master A. in any Level 1 SoL stage -> Catamin [A] X 1
1321	Defeat Dagshund in any Level 1 SoL stage -> Cat CPU X 1
1322	Defeat Celeboodle in any Level 1 SoL stage -> Cat CPU X 1
1323	Defeat THE SLOTH in any Level 1 SoL stage -> Cat CPU X 1
1324	Defeat Otta-smack-u in any Level 1 SoL stage -> Speed Up X 1
1325	Defeat J.K Bun Bun in any Level 1 SoL stage -> Speed Up X 1
1326	Defeat Bore in any Level 1 SoL stage -> Cat Jobs X 1
1327	Defeat Owlbrow in any Level 1 SoL stage -> Cat Jobs X 1
1328	Defeat Camelle in any Level 1 SoL stage -> Cat Jobs X 1
1329	Defeat Kory in any Level 1 SoL stage -> Cat Jobs X 1
1330	Defeat Director Kurosawah in any Level 1 SoL stage -> Sniper the Cat X 1
1331	Defeat Metal One Horn in any Level 1 SoL stage -> Sniper the Cat X 1
1332	Defeat H. Nah in any Level 1 SoL stage -> Catamin [B] X 1
1333	Defeat Ururun Wolf in any Level 1 SoL stage -> Catamin [C] X 1
1334	Defeat Red Cyclone at Crimson Catastrophe -> Treasure Radar X 1
1335	Defeat Black Cyclone at Heaven of Darkness -> Cat Ticket X 1
1400	Defeat Mistress Celeboodle in any ItF Ch.3 stage -> XP X 40000
1401	Defeat Scissoroo in any ItF Ch.3 stage -> XP X 40000
1402	Defeat Kang Roo in any ItF Ch.3 stage -> XP X 40000
1403	Defeat Calamary in any ItF Ch.3 stage -> XP X 40000
1404	Defeat Cyberhorn in any ItF Ch.3 stage -> XP X 40000
1405	Defeat Teacher Bear in any ItF Ch.3 stage -> XP X 40000
1406	Defeat Ursamajor in any ItF Ch.3 stage -> XP X 40000
1407	Defeat Alpacky in any ItF Ch.3 stage -> XP X 40000
1408	Defeat Elizabeth the LVIth in any ItF Ch.3 stage -> Rich Cat X 1
1409	Defeat Shadow Boxer K in any ItF Ch.3 stage -> Rich Cat X 1
1410	Defeat I.M. Phace in any ItF Ch.3 stage -> Rich Cat X 1
1411	Defeat The Face in any ItF Ch.3 stage -> Rich Cat X 1
1412	Defeat Shy Boy in any ItF Ch.3 stage -> Rich Cat X 1
1413	Defeat Elder Sloth in any ItF Ch.3 stage -> Sniper the Cat X 1
1414	Defeat Dark Otter in any ItF Ch.3 stage -> Sniper the Cat X 1
1415	Defeat Nimoy Bore in any ItF Ch.3 stage -> Treasure Radar X 1
1416	Defeat Raging Bahamut Cat in any ItF Ch.3 stage -> Cat Ticket X 1
1417	Defeat Dober P.D in any Level 1 SoL stage -> Catamin [A] X 1
1418	Defeat R.Ost in any Level 1 SoL stage -> Catamin [A] X 1
1419	Defeat Sunfish Jones in any Level 1 SoL stage -> Catamin [A] X 1
1420	Defeat Super Metal Hippoe in any Level 1 SoL stage -> Cat CPU X 1
1421	Defeat Wall Doge in any Level 1 SoL stage -> Cat CPU X 1
1422	Defeat Pigeon de Sable in any Level 1 SoL stage -> Cat CPU X 1
1423	Defeat Angelic Sleipnir in any Level 1 SoL stage -> Speed Up X 1
1424	Defeat Li'l Nyandam in any Level 1 SoL stage -> Speed Up X 1
1425	Defeat Chickful A in any Level 1 SoL stage -> Speed Up X 1
1426	Defeat Capy in any Level 1 SoL stage -> Cat Jobs X 1
1427	Defeat Brollow in any Level 1 SoL stage -> Cat Jobs X 1
1428	Defeat Berserkory in any Level 1 SoL stage -> Cat Jobs X 1
1429	Defeat Mr. Mole in any Level 1 SoL stage -> Cat Jobs X 1
1430	Defeat Two Can in any Level 1 SoL stage -> Cat Jobs X 1
1431	Defeat Codename "Red Riding" in any Level 1 SoL stage -> Catamin [C] X 1
1432	Defeat Tackey in any Level 1 SoL stage -> Sniper the Cat X 1
1433	Defeat Boraphim in any Level 1 SoL stage -> Catamin [B] X 1
1434	Defeat White Cyclone at Peerless -> Catamin [C] X 1
1435	Defeat Divine Cyclone at Wrath of Heaven -> Cat Ticket X 1
1500	Defeat Shibalien Elite in any CotC Ch.1 stage -> XP X 50000
1501	Defeat One Horn in any CotC Ch.1 stage -> XP X 50000
1502	Defeat Pigge in any CotC Ch.1 stage -> XP X 50000
1503	Defeat Star Peng in any CotC Ch.1 stage -> XP X 50000
1504	Defeat General GreGory in any CotC Ch.1 stage -> XP X 50000
1505	Defeat Elizabeth the LVIth in any CotC Ch.1 stage -> XP X 50000
1506	Defeat Le'Solar in any CotC Ch.1 stage -> XP X 50000
1507	Defeat Angelic Gory in any CotC Ch.1 stage -> XP X 50000
1508	Defeat Gabriel in any CotC Ch.1 stage -> XP X 50000
1509	Defeat Project A in any CotC Ch.1 stage -> Rich Cat X 1
1510	Defeat Shadow Boxer K in any CotC Ch.1 stage -> Rich Cat X 1
1511	Defeat Heavenly Hippoe in any CotC Ch.1 stage -> Rich Cat X 1
1512	Defeat Corporal Weyland in any CotC Ch.1 stage -> Rich Cat X 1
1513	Defeat Gory in any CotC Ch.1 stage -> Rich Cat X 1
1514	Defeat Spacefish Jones in any CotC Ch.1 stage -> Sniper the Cat X 1
1515	Defeat Metal Doge in any CotC Ch.1 stage -> Sniper the Cat X 1
1516	Defeat The Cat God in any CotC Ch.1 stage -> Cat Ticket X 1
1517	Defeat THE SLOTH in any Level 2 SoL stage -> Catamin [A] X 1
1518	Defeat Shy Boy in any Level 2 SoL stage -> Catamin [A] X 1
1519	Defeat J.K Bun Bun in any Level 2 SoL stage -> Cat CPU X 1
1520	Defeat Dark Emperor Nyandam in any Level 2 SoL stage -> Cat CPU X 1
1521	Defeat Teacher Bun Bun in any Level 2 SoL stage -> Cat CPU X 1
1522	Defeat Bore in any Level 2 SoL stage -> Speed Up X 1
1523	Defeat Kory in any Level 2 SoL stage -> Speed Up X 1
1524	Defeat Director Kurosawah in any Level 2 SoL stage -> Speed Up X 1
1525	Defeat R.Ost in any Level 2 SoL stage -> Cat Jobs X 1
1526	Defeat Ururun Wolf in any Level 2 SoL stage -> Catamin [B] X 1
1527	Defeat Angelic Sleipnir in any Level 2 SoL stage -> Cat Jobs X 1
